,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
9340,Trawler,,Used boat,1974,19000,9.4,3.4,Steel,152,Netherlands
9341,Trawler,Waddenkruiser power boats,Used boat,1973,18995,8.5,3.1,Steel,156,Netherlands
9345,Sport Boat,Aquanaut power boats,Used boat,1981,18950,8.5,3.1,Steel,133,Netherlands
9348,Deck Boat,Marinello power boats,Used boat,2015,18900,6.7,2.49,,186,Germany
9352,Cabin Boat,,"Used boat,Diesel",1984,18900,7.0,3.0,GRP,145,Netherlands
9353,Sport Boat,Mingolla power boats,Used boat,2019,18800,6.42,2.38,,272,Italy
9355,Sport Boat,Scand power boats,"Used boat,Unleaded",1985,20000,7.8,2.59,GRP,284,Switzerland
9356,Sport Boat,Performance power boats,"Used boat,Unleaded",1991,20000,7.14,2.53,GRP,665,"Tenero,"
9357,Bowrider,Mariah power boats,"Used boat,Unleaded",2006,18500,6.9,2.49,,247,Germany
9359,Fishing Boat,Saver power boats,"Used boat,Unleaded",2003,18500,7.2,2.5,,120,Italy
9361,Sport Boat,Four Winns power boats,"Used boat,Unleaded",1997,18500,7.11,2.44,PVC,112,France
9362,Cabin Boat,,Used boat,1983,18500,8.1,2.95,GRP,127,Netherlands
9363,Pilothouse,Quicksilver power boats,"Used boat,Unleaded",2007,18500,6.52,2.49,PVC,143,France
9364,Cabin Boat,,Used boat,1983,18500,8.5,3.2,GRP,115,Netherlands
9365,Cabin Boat,,Used boat,1980,18500,8.65,2.78,GRP,216,Netherlands
9366,Sport Boat,Remus power boats,"new boat from stock,Unleaded",2020,18499,5.2,2.22,GRP,185,Germany
9367,Pontoon Boat,Cranchi power boats,"Used boat,Unleaded",1992,19990,7.2,2.41,GRP,317,Switzerland
9368,Center console boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,19990,5.03,2.12,GRP,300,Switzerland
9369,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1999,19990,6.09,2.54,Plastic,468,Switzerland
9371,Offshore Boat,Chaparral power boats,"Used boat,Unleaded",1991,19900,7.5,2.5,GRP,413,Switzerland
9374,"Fishing Boat,Hardtop,Pilothouse",Ocqueteau power boats,"Used boat,Unleaded",1999,19900,6.15,2.5,GRP,429,Switzerland
9375,Motor Yacht,Scand power boats,"Used boat,Unleaded",1986,19900,7.8,2.59,GRP,628,Switzerland
9376,Deck Boat,Salmeri Boote power boats,"Used boat,Unleaded",2015,19900,5.53,2.18,GRP,655,VierwaldstÃ¤ttersee
9377,Runabout,Karnic power boats,new boat from stock,2018,18399,5.65,2.3,GRP,129,Germany
9378,Sport Boat,Viko Yachts power boats,new boat from stock,2017,18385,6.1,2.5,GRP,218,Germany
9379,Classic,WeiBo power boats,new boat from stock,2021,18300,6.0,1.65,Wood,129,Switzerland
9381,Pontoon Boat,Windy power boats,"Used boat,Unleaded",1990,19700,7.55,2.51,GRP,285,Switzerland
9382,"Cabin Boat,Fishing Boat,House Boat",Selje power boats,"Used boat,Diesel",1977,19700,7.25,2.53,GRP,475,Switzerland
