,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,10400,6.0,2.3,GRP,418,Switzerland
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,11000,6.18,2.42,GRP,256,Switzerland
117,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,11000,7.0,1.9,Wood,230,Switzerland
118,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,11000,6.0,1.6,GRP,182,Switzerland
132,Sport Boat,Bayliner power boats,Used boat,1988,11000,6.3,2.34,GRP,284,Italy
134,Cabin Boat,Stingray power boats,Used boat,1997,11000,6.5,2.4,GRP,229,Italy
135,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,11000,7.03,2.54,PVC,226,France
138,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,11000,6.13,2.39,GRP,175,Italy
139,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,11000,7.8,2.59,GRP,173,Italy
140,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,11000,6.0,2.4,GRP,422,Spain
141,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,11000,7.4,2.5,GRP,243,Germany
142,Sport Boat,Bayliner power boats,Used boat,1987,11000,7.62,2.97,GRP,254,Netherlands
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,10999,5.07,2.12,GRP,150,Germany
144,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,10999,5.1,2.1,GRP,255,Germany
145,Sport Boat,Remus power boats,new boat from stock,2020,10999,5.2,2.22,GRP,179,Germany
147,Cabin Boat,Polar power boats,Diesel,1977,10990,6.7,2.3,GRP,136,Germany
148,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,12000,7.75,2.75,PVC,141,France
149,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,12000,6.43,2.25,GRP,442,Serbia
150,Cabin Boat,,"Used boat,Unleaded",1973,12000,7.0,1.9,Wood,241,Germany
151,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,12000,6.5,2.2,GRP,327,Germany
152,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,12000,6.16,2.49,Plastic,188,Italy
154,Cabin Boat,,"Used boat,Unleaded",1970,12000,7.75,2.65,Steel,370,Netherlands
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,12950,5.3,2.39,GRP,284,Switzerland
162,Runabout,Larson power boats,"Used boat,Unleaded",1994,13888,5.8,2.47,,333,Switzerland
164,Sport Boat,Four Winns power boats,Used boat,1994,12800,6.4,2.36,,235,Belgium
171,Trawler,,"Used boat,Diesel",1973,12500,8.5,3.1,Steel,177,Netherlands
172,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,12500,14.7,3.65,Steel,235,Germany
173,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,12500,5.6,2.2,GRP,452,Italy
174,Cabin Boat,Compromis power boats,Used boat,1983,12500,7.2,2.85,GRP,165,Netherlands
175,"Classic,Launch",,Used boat,1965,12500,6.12,2.22,Wood,160,Netherlands
176,"Classic,Launch",,Used boat,1950,12500,6.0,2.2,Wood,162,Netherlands
178,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,14800,7.05,2.5,GRP,436,Switzerland
181,Sport Boat,Eolo power boats,new boat from stock,2019,13566,5.7,2.1,,214,Germany
182,Pilothouse,Draco power boats,"Used boat,Unleaded",1992,14500,6.77,2.28,,760,Switzerland
183,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,13500,5.95,2.48,GRP,121,Italy
184,Sport Boat,,"Used boat,Unleaded",1997,13500,6.4,2.54,GRP,222,Italy
185,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,13500,6.16,2.48,PVC,110,France
187,Sport Boat,Lema power boats,"Used boat,Diesel",1996,13500,7.0,2.0,PVC,264,Spain
188,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,13500,5.45,2.15,GRP,109,Italy
189,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,13500,8.8,2.79,GRP,132,Croatia
191,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,13500,6.5,2.44,Steel,262,France
192,Launch,,"Used boat,Unleaded",1963,13500,6.0,2.4,Wood,214,Netherlands
195,Fishing Boat,Smartliner power boats,new boat on order,2020,15600,5.76,2.25,GRP,292,Switzerland
198,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,15500,5.25,2.16,GRP,151,Switzerland
200,Sport Boat,Allegra power boats,Used boat,2019,14200,6.35,2.45,,172,Italy
201,Sport Boat,Romar power boats,new boat from stock,2019,14200,5.68,1.99,GRP,285,Switzerland
202,Sport Boat,Gobbi power boats,Used boat,1997,14000,9.15,3.0,GRP,281,Italy
203,Deck Boat,Mingolla power boats,Used boat,2019,14000,6.42,2.38,,152,Italy
204,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,14000,6.42,2.38,GRP,132,Italy
207,Sport Boat,Rinker power boats,"Used boat,Unleaded",1992,14000,7.16,2.59,,208,Italy
208,Motor Yacht,Quicksilver power boats,Used boat,2008,14950,5.55,2.47,,238,Germany
210,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,14900,10.0,3.0,GRP,111,Croatia
213,"Cabin Boat,Classic",,Used boat,1948,14900,8.25,2.65,Wood,155,Netherlands
214,Flybridge,Draco power boats,"Used boat,Diesel",1980,14900,9.1,3.14,GRP,356,Italy
215,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,14900,7.9,2.5,GRP,198,Germany
217,Center console boat,Ultramar power boats,"Used boat,Unleaded",2018,14900,5.3,1.96,,103,Germany
218,Trawler,,Used boat,1975,14900,10.3,3.0,Steel,225,Netherlands
220,Trawler,,Used boat,2001,14900,8.3,3.0,Steel,309,Netherlands
222,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,15500,6.5,2.5,GRP,145,Germany
224,Sport Boat,Maxum power boats,"Used boat,Diesel",2007,15500,6.12,2.31,,185,Malta
225,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,15500,6.5,2.5,GRP,125,Austria
226,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,15500,9.2,2.98,GRP,236,Austria
227,Trawler,Hoekstra power boats,Used boat,1976,15500,9.5,3.2,Steel,253,Netherlands
228,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,15500,7.0,2.5,GRP,311,Germany
229,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,15499,5.5,2.29,GRP,219,Germany
233,Center console boat,Ranieri power boats,new boat from stock,2019,15400,6.0,2.25,GRP,116,Italy
240,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,17500,6.19,2.4,GRP,201,Switzerland
246,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,17500,7.2,2.57,GRP,387,Switzerland
247,Pilothouse,Smartliner power boats,new boat on order,2020,17400,6.4,2.25,GRP,399,Switzerland
250,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,16000,7.35,2.6,GRP,141,Croatia
252,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,16900,6.3,2.34,GRP,154,Germany
253,Bowrider,Wellcraft power boats,"Used boat,Unleaded",1995,16900,8.53,2.59,,244,France
254,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,16900,5.6,2.16,GRP,107,Italy
255,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,16900,8.04,3.06,GRP,405,Germany
258,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,16900,5.47,2.34,PVC,152,Spain
260,Trawler,GioMare power boats,Used boat,1995,16900,5.7,2.8,GRP,172,Rovinij
261,Bowrider,Bella power boats,Display Model,2019,18260,5.01,2.01,GRP,339,Switzerland
262,Sport Boat,Yamarin power boats,new boat from stock,2020,16870,5.53,2.24,GRP,127,Germany
263,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,18210,5.83,2.03,GRP,247,Switzerland
265,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,18200,6.5,2.5,Thermoplastic,331,Switzerland
267,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,17500,6.22,2.47,PVC,144,France
268,Motor Yacht,,Used boat,1976,17500,10.0,3.2,Steel,103,Netherlands
269,Motor Yacht,,Used boat,1930,17500,22.0,4.7,Steel,136,Netherlands
270,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,17500,5.4,2.4,GRP,192,Portugal
272,Trawler,Pedro power boats,Used boat,1984,17500,8.6,2.8,Steel,149,Netherlands
273,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,17490,7.0,2.0,GRP,164,Germany
274,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,17490,7.5,2.75,GRP,162,Germany
277,Trawler,,Used boat,1978,17500,8.5,3.25,Steel,199,Netherlands
278,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,18900,5.71,2.34,Plastic,335,Switzerland
279,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,18900,6.5,2.45,Plastic,686,Switzerland
284,Sport Boat,Tullio Abbate power boats,Used boat,1986,18000,7.5,2.3,,293,Italy
285,Sport Boat,Tullio Abbate power boats,"Used boat,Unleaded",2004,18000,6.53,2.29,,132,Italy
286,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,18000,7.96,2.47,GRP,375,Portugal
287,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,18000,6.2,2.0,GRP,333,Italy
288,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,18000,7.35,2.72,GRP,129,Spain
289,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,18000,6.21,2.48,PVC,211,Spain
290,Sport Boat,Nidelv power boats,"Used boat,Unleaded",1996,18000,6.1,2.3,,188,Portugal
291,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,18000,8.0,2.94,GRP,334,Italy
292,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,18000,5.59,2.29,PVC,119,Spain
293,Sport Boat,,"Used boat,Diesel",1989,18000,7.06,2.36,GRP,136,Italy
294,Pilothouse,,"Used boat,Diesel",1981,18000,8.8,3.5,GRP,132,Italy
296,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,18800,5.33,2.25,PVC,110,France
297,Center console boat,Clear power boats,new boat from stock,2020,18750,6.15,2.27,GRP,149,Germany
298,Center console boat,,"Used boat,Unleaded",2019,18700,6.0,2.0,GRP,139,Germany
299,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,18700,6.5,2.4,GRP,254,Germany
300,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,18690,6.1,2.4,GRP,324,Switzerland
301,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,20000,7.62,2.59,GRP,220,Switzerland
303,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,19990,7.22,2.57,GRP,339,Switzerland
305,Pilothouse,,"Used boat,Diesel",1985,18600,7.0,2.6,GRP,387,Croatia
306,Fishing Boat,Smartliner power boats,new boat from stock,2020,20100,6.4,2.25,GRP,185,Switzerland
311,Trawler,Beachcraft power boats,Used boat,1981,19500,8.2,3.1,Steel,118,Netherlands
312,Cabin Boat,Waterland power boats,Used boat,1975,19500,8.2,3.1,GRP,101,Netherlands
315,Cabin Boat,Sea Ray power boats,Used boat,1996,19500,8.95,2.59,GRP,778,Steinwiesen
316,Cabin Boat,Bayliner power boats,Unleaded,2003,19490,5.89,2.37,GRP,261,Germany
317,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,21000,5.95,2.27,GRP,163,Switzerland
321,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,19300,5.1,2.1,GRP,117,Germany
322,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,20800,9.0,1.7,Wood,235,Switzerland
323,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,19900,6.12,2.44,GRP,217,Italy
325,Flybridge,,"Used boat,Diesel",1980,19900,9.0,3.0,GRP,355,Germany
326,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,19900,9.0,3.2,GRP,314,Germany
327,Motor Yacht,Crownline power boats,Used boat,1997,19900,7.5,2.59,GRP,122,Netherlands
328,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,19900,7.83,2.58,PVC,165,France
329,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,19900,6.16,2.29,GRP,375,Germany
330,Classic,Solcio power boats,"Used boat,Unleaded",1976,19900,5.6,2.25,,130,Germany
335,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,19900,8.15,2.9,GRP,280,Germany
336,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,19900,5.1,2.02,Wood,206,Germany
337,Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,19900,5.7,2.25,GRP,159,Germany
338,Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,19900,8.5,3.1,Steel,157,Belgium
339,Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,20499,5.75,2.54,GRP,153,Germany
340,Sport Boat,Sting power boats,new boat from stock,2018,20490,6.08,2.37,GRP,115,Germany
341,Center console boat,Sting power boats,new boat from stock,2020,22110,5.3,2.15,GRP,118,Switzerland
342,Sport Boat,Scand power boats,"Used boat,Unleaded",1989,22000,8.5,3.0,GRP,537,Switzerland
343,Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,22000,7.63,2.5,GRP,176,Switzerland
344,Bowrider,Cranchi power boats,Used boat,1993,22000,7.6,2.47,GRP,415,Switzerland
345,Cabin Boat,Saga power boats,"Used boat,Diesel",1978,22000,8.12,2.75,GRP,593,Switzerland
346,Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,22000,6.01,2.3,GRP,527,Switzerland
347,Sport Boat,Draco power boats,"Used boat,Unleaded",1993,22000,6.77,2.28,GRP,265,Switzerland
348,Pilothouse,Sessa power boats,"Used boat,Unleaded",2006,22000,6.5,2.43,GRP,466,Switzerland
351,Trawler,,"Used boat,Diesel",1972,21900,7.8,2.6,Steel,319,Switzerland
357,Pilothouse,Atlantic Marine power boats,new boat from stock,2019,23000,6.6,2.47,GRP,394,Switzerland
358,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,23000,7.0,2.43,GRP,863,Switzerland
360,Sport Boat,Capelli power boats,"Used boat,Unleaded",2016,22900,5.01,2.28,Hypalon,135,Switzerland
361,Sport Boat,Rio Iberica power boats,"Used boat,Unleaded",2004,22900,5.5,2.05,GRP,457,Switzerland
362,Sport Boat,Yamarin power boats,new boat from stock,2019,21090,5.67,2.25,GRP,135,Germany
365,Cabin Boat,Monterey power boats,"Used boat,Unleaded",1997,21000,8.0,2.59,GRP,241,Italy
366,Sport Boat,Azimut power boats,"Used boat,Diesel",1989,21000,9.23,3.18,PVC,190,France
368,Cabin Boat,Kelt power boats,Used boat,1992,21000,8.8,2.98,GRP,146,Netherlands
372,Pilothouse,Ocqueteau power boats,"Used boat,Diesel",2002,22000,7.4,2.72,,145,France
373,Water ski,Correct Craft power boats,"Used boat,Unleaded",2007,22000,6.0,2.33,GRP,141,Germany
374,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2006,22000,7.5,2.75,,139,France
375,Flybridge,Riva power boats,"Used boat,Diesel",1978,22000,10.45,3.43,GRP,352,Italy
376,Motor Yacht,Cytra power boats,"Used boat,Diesel",1979,22000,9.5,3.2,GRP,190,Germany
377,Center console boat,Crownline power boats,"Used boat,Unleaded",1996,22000,7.5,2.59,GRP,111,Italy
379,"Classic,Runabout",,"Used boat,Electric",1968,22000,5.2,1.8,Wood,107,Austria
380,Sport Boat,Four Winns power boats,"Used boat,Diesel",2004,22000,6.65,2.54,,297,France
381,Motor Yacht,Tullio Abbate power boats,Unleaded,1991,22000,10.8,2.5,GRP,373,Germany
382,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1992,22000,6.83,2.55,,154,France
384,Trawler,,Diesel,1980,21990,10.0,3.0,Steel,145,Germany
386,Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,22850,5.65,2.2,GRP,140,Germany
388,Deck Boat,Yamarin power boats,new boat from stock,2020,22800,5.28,2.09,Aluminium,114,Germany
394,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,22700,7.15,2.51,PVC,110,France
395,Motor Yacht,Master power boats,new boat on order,2020,22680,5.42,2.32,GRP,142,France
396,Offshore Boat,Baja power boats,"Used boat,Unleaded",1988,24500,7.28,2.54,GRP,422,Switzerland
397,Classic,Chris Craft power boats,"Used boat,Unleaded",1976,24500,9.3,3.4,GRP,417,Switzerland
398,"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon power boats,"Used boat,Unleaded",2015,24500,6.19,2.48,GRP,867,Switzerland
399,Deck Boat,Yamarin power boats,new boat from stock,2020,22520,6.25,2.3,GRP,107,Germany
400,Bowrider,Nordkapp power boats,new boat from stock,2017,23640,6.06,2.2,GRP,109,Germany
401,Sport Boat,Regal power boats,"Used boat,Unleaded",2001,25500,5.78,2.5,GRP,483,Switzerland
403,Center console boat,,Used boat,2009,23500,7.05,2.55,,160,Italy
404,Trawler,Cascaruda power boats,Diesel,1982,23500,9.3,3.0,Steel,164,Germany
405,Pilothouse,Nidelv power boats,"Used boat,Diesel",1988,25000,8.66,3.04,GRP,507,Switzerland
406,Sport Boat,Windy power boats,"Used boat,Unleaded",1997,25000,7.85,2.54,GRP,771,Switzerland
407,Sport Boat,Wellcraft power boats,Used boat,1992,25000,8.35,2.5,GRP,420,Switzerland
408,Classic,Schneiter power boats,Used boat,1965,25000,6.0,1.9,Wood,284,Switzerland
409,Fishing Boat,The Captains power boats,new boat on order,2020,25000,6.6,1.85,GRP,888,Switzerland
411,Offshore Boat,Bruno Abbate power boats,"Used boat,Unleaded",1995,24900,9.25,2.65,GRP,273,Switzerland
414,Sport Boat,Faeton power boats,"Used boat,Unleaded",2006,25990,7.3,2.75,GRP,485,Switzerland
415,Sport Boat,Yamarin power boats,new boat from stock,2020,24170,5.73,2.2,,157,Germany
418,Cabin Boat,Nidelv power boats,"Used boat,Unleaded",1995,26000,7.5,2.5,GRP,607,Switzerland
419,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,26000,7.55,2.51,GRP,187,Switzerland
420,Fishing Boat,ERC power boats,new boat from stock,2020,25950,5.3,2.0,GRP,198,Switzerland
423,Pilothouse,Faeton power boats,"Used boat,Unleaded",2003,24000,7.49,2.8,,118,Italy
424,Pilothouse,Jeanneau power boats,"Used boat,Diesel",1989,24000,7.5,2.9,PVC,104,France
427,"Classic,Pontoon Boat",Piantoni power boats,"Used boat,Unleaded",1968,24000,5.65,2.05,Wood,143,Italy
429,"Classic,Motor Yacht",Storebro power boats,"Used boat,Unleaded",1961,24900,7.25,2.25,Wood,199,Germany
432,Sport Boat,Viko power boats,"Used boat,Unleaded",2017,24900,6.1,2.5,GRP,138,Germany
433,Pontoon Boat,Cantieri Nautici Ferrario power boats,new boat from stock,2018,24900,6.5,2.4,GRP,110,Italy
437,Motor Yacht,Bella power boats,Used boat,2008,24900,6.5,2.42,GRP,119,Croatia
438,Cabin Boat,,Diesel,1970,24900,9.5,3.2,Steel,128,Germany
439,"Motor Yacht,Sport Boat,Trawler",Sea Ray power boats,"Used boat,Unleaded",1996,24900,8.9,2.9,GRP,605,Italy
440,Cabin Boat,,"Used boat,Unleaded",2013,24900,6.0,1.9,Wood,129,Germany
442,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,24900,7.07,2.78,PVC,161,France
444,Sport Boat,Bayliner power boats,Used boat,1999,24900,8.44,2.57,,130,Germany
446,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2007,25000,6.66,2.64,PVC,103,France
447,Bowrider,Glastron power boats,"Used boat,Unleaded",2007,25000,6.0,2.0,PVC,287,Portugal
448,Sport Boat,,"Used boat,Unleaded",2006,25000,7.8,2.59,GRP,127,Croatia
449,Flybridge,Dellapasqua power boats,"Used boat,Unleaded",1996,25000,8.22,2.99,GRP,169,Italy
450,Sport Boat,Colombo power boats,"Used boat,Unleaded",1986,25000,6.4,2.2,GRP,181,Italy
452,Sport Boat,Bayliner power boats,Used boat,1991,25000,9.81,3.41,GRP,197,Slovenia
453,Sport Boat,,Used boat,2001,25000,7.5,2.5,GRP,189,Italy
457,Cabin Boat,Scand power boats,Used boat,1983,25000,7.62,2.8,GRP,160,Netherlands
458,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,25000,7.65,2.5,GRP,271,Italy
459,Launch,Campion power boats,"Used boat,Unleaded",2001,25000,7.38,2.62,GRP,170,Spain
460,Flybridge,Raffaelli power boats,"Used boat,Diesel",1979,25000,10.6,3.6,GRP,231,Italy
464,Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2019,25900,6.43,2.5,,264,Germany
465,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1995,25900,8.05,2.59,GRP,278,Germany
467,Fishing Boat,Trophy power boats,"Used boat,Unleaded",2008,25900,7.14,2.57,GRP,195,Slovenia
470,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,25900,9.9,9.9,GRP,140,Germany
471,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1987,25900,8.26,2.57,GRP,321,Germany
472,Sport Boat,Regal power boats,"Used boat,Unleaded",2007,25900,6.7,2.5,PVC,165,France
474,Motor Yacht,Draco power boats,"Used boat,Diesel",1991,25900,6.77,2.28,GRP,187,Germany
475,Sport Boat,Sunseeker power boats,Used boat,1987,25900,8.26,2.57,,167,Germany
476,Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1995,25900,7.6,2.59,GRP,217,Germany
479,Pilothouse,Drago Boats power boats,"new boat from stock,Unleaded",2017,28900,5.1,2.13,GRP,138,Switzerland
483,Cabin Boat,Galaxy power boats,"Used boat,Unleaded",1990,28900,8.1,2.45,GRP,654,Switzerland
485,Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,2020,26700,6.48,2.53,,104,Italy
486,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,26700,6.5,2.4,GRP,137,Switzerland
487,Deck Boat,Sessa power boats,new boat from stock,2020,26620,6.1,2.33,GRP,224,Italy
488,Bowrider,Clear power boats,"Used boat,Unleaded",2014,28500,6.15,2.2,GRP,549,Switzerland
489,Bowrider,Bella power boats,Display Model,2018,28700,5.3,2.2,GRP,198,Switzerland
494,Motor Yacht,Quicksilver power boats,"Used boat,Unleaded",2018,29500,5.47,2.29,GRP,304,Rolle
495,Cabin Boat,Carver power boats,"Used boat,Unleaded",1996,29500,8.43,2.62,GRP,276,Switzerland
496,Motor Yacht,Windy power boats,"Used boat,Unleaded",1989,29500,9.1,3.0,GRP,457,Switzerland
497,Hardtop,Bella power boats,"Used boat,Diesel",2002,29500,6.3,2.25,Plastic,973,Switzerland
503,Fishing Boat,Smartliner power boats,new boat from stock,2020,29200,6.28,2.24,GRP,228,Switzerland
504,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,27000,9.8,3.3,GRP,128,Germany
505,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1992,27000,9.5,3.29,GRP,120,Italy
506,Working Boat,,Used boat,1984,27000,9.75,3.2,GRP,160,Netherlands
508,Working Boat,Viking power boats,new boat from stock,2020,27900,7.52,2.43,Aluminium,227,Germany
509,Sport Boat,Sting power boats,new boat from stock,2016,27900,6.08,2.37,GRP,111,Germany
510,Bowrider,Sea Ray power boats,"Used boat,Unleaded",2014,27900,5.99,2.21,,351,Germany
511,Pilothouse,Marinello power boats,new boat from stock,2018,27900,6.5,2.48,GRP,308,Germany
514,Motor Yacht,Doral power boats,"Used boat,Unleaded",1991,27900,8.25,2.89,GRP,131,Netherlands
515,Sport Boat,Sunseeker power boats,"Used boat,Diesel",1992,27900,8.78,2.75,GRP,377,Germany
516,Passenger boat,,"Used boat,Diesel",2004,27900,9.1,3.1,,125,Poland
517,Cabin Boat,Bella power boats,"Used boat,Diesel",2007,27900,7.05,2.47,GRP,294,Germany
518,Cabin Boat,,"Used boat,Diesel",2007,27900,7.05,2.47,GRP,113,Germany
519,"Classic,Sport Boat,Water ski",Boesch power boats,"Used boat,Unleaded",1983,29900,5.7,2.2,Wood,511,Switzerland
520,Offshore Boat,Seebold power boats,"Used boat,Unleaded",1992,29900,7.75,2.48,GRP,359,Switzerland
521,Sport Boat,Stingray power boats,"Used boat,Unleaded",2003,27800,6.9,2.5,,455,Switzerland
522,Sport Boat,Nidelv power boats,"Used boat,Diesel",2001,31000,6.1,2.3,GRP,385,Switzerland
526,Working Boat,Viking power boats,new boat from stock,2020,28500,7.65,2.48,Aluminium,252,Germany
528,Sport Boat,Bayliner power boats,"Used boat,Diesel",1997,28500,8.69,3.0,GRP,169,Croatia
531,Cabin Boat,West Bay power boats,"Used boat,Diesel",1997,28500,6.5,2.58,,131,Germany
532,Sport Boat,Cranchi power boats,"Used boat,Unleaded",1992,28500,9.0,3.0,GRP,143,Croatia
534,Cabin Boat,Maxum power boats,"Used boat,Unleaded",1993,28500,7.2,2.5,GRP,286,baden
535,Motor Yacht,Larson power boats,"Used boat,Unleaded",1998,28500,8.83,3.04,GRP,241,Germany
536,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2018,29000,6.75,2.54,GRP,161,Italy
537,Pontoon Boat,Seaswirl power boats,"Used boat,Diesel",2010,29000,7.0,2.55,GRP,194,Italy
538,Cabin Boat,Bella power boats,"Used boat,Diesel",2005,29000,7.05,2.47,GRP,196,Netherlands
539,Center console boat,Boston Whaler power boats,"Used boat,Unleaded",1990,29000,7.4,2.74,,215,Italy
540,Motor Yacht,Princess power boats,"Used boat,Diesel",1979,29000,11.0,3.78,GRP,314,Croatia
541,Sport Boat,Cobalt power boats,"Used boat,Unleaded",2001,29000,6.86,2.59,GRP,119,Italy
543,Cabin Boat,Apreamare power boats,"Used boat,Diesel",1993,29000,8.05,2.85,GRP,205,Italy
545,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1990,29000,9.2,3.25,GRP,233,Italy
546,Pilothouse,Polar Boats power boats,"Used boat,Diesel",1987,29000,8.77,3.18,GRP,199,Germany
549,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2009,29000,7.01,2.5,PVC,393,Belgium
550,Sport Boat,Maxum power boats,"Used boat,Unleaded",2000,29000,7.23,2.56,,175,France
551,Bowrider,Four Winns power boats,"Used boat,Unleaded",2006,29000,7.77,2.59,,140,France
552,Trawler,,"Used boat,Diesel",1994,29900,8.0,3.2,Steel,122,Netherlands
554,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,29900,6.96,2.55,GRP,851,Donau
560,Sport Boat,Nidelv power boats,"Used boat,Unleaded",2005,29800,6.26,2.3,GRP,622,Germany
561,Cabin Boat,,Used boat,1963,29750,9.4,2.8,Steel,159,Netherlands
562,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,29650,5.07,2.12,GRP,102,Germany
563,Sport Boat,Ranieri power boats,"Used boat,Unleaded",2018,32000,5.65,2.2,GRP,288,Switzerland
565,Sport Boat,Rancraft power boats,"Used boat,Unleaded",2001,29500,7.5,2.59,GRP,146,Belgium
568,Motor Yacht,Blumar power boats,"Used boat,Unleaded",2008,30000,8.01,2.85,GRP,253,Italy
